id,course_taxonomy_id,slug,name,app_count
2513,23989,computer-science,Computer Science,526747
11468,24586,electrical-and-computer-engineering,Electrical and Computer Engineering,54896
15317,24090,computer-and-information-systems,Computer and Information Systems,46553
12339,24252,computer-engineering,Computer Engineering,34240
11824,24278,computer-and-information-sciences-general,Computer and Information Sciences General,8801
6254,340,computational-science,Computational Science,8486
16222,24275,computer-networking-and-telecommunications,Computer Networking and Telecommunications,7869
7316,24155,human-computer-interaction,Human Computer Interaction,7276
9512,805,computational-mathematics,Computational Mathematics,1936
178,24600,computer-systems-engineering,Computer Systems Engineering,1870
