Scholarship_ID,scholarship_name,scholarship_url
1,Cornaro Scholarship,https://www.kappagammapi.org/cornaro-scholarship/
2,NCAA Postgraduate Scholarship Program,http://www.ncaa.org/ncaa-postgraduate-scholarship-program
3,Eiffel Excellence Scholarship Program,https://www.campusfrance.org/en/eiffel-scholarship-program-of-excellence
4,Fulbright Foreign Student Program,https://us.fulbrightonline.org/
5,Clarendon Scholarships at University of Oxford,http://www.ox.ac.uk/clarendon/
6,Gates Cambridge Scholarship,https://www.gatescambridge.org/
7,Kate Neal Kinley Memorial Fellowship,http://faa.illinois.edu/alumni-friends/kate-neal-kinley-memorial-fellowship
8,Forte Fellows Program,http://www.fortefoundation.org/site/PageServer?pagename=mba_fellows#.VPyCecZVvE8
9,Richard A. Freund International Scholarship,https://asq.org/about-asq/asq-awards/freundscholar
10,Olivia James Traveling Fellowship,https://www.archaeological.org/grant/james-traveling-fellowship/
11,Helen M. Woodruff Fellowship,https://www.archaeological.org/grant/woodruff-fellowship/
12,Anna C. and Oliver C. Colburn Fellowship,https://www.archaeological.org/grant/colburn-fellowships/
13,Harriet and Leon Pomerance Fellowship,https://www.archaeological.org/grant/pomerance-fellowship/
14,Kate B. and Hall J. Peterson Fellowships,https://www.americanantiquarian.org/short-termfellowship
15,The Legacy Fellowship,https://www.americanantiquarian.org/short-termfellowship
16,American Antiquarian Society-American Society for 18th-Century Studies Fellowship,https://www.americanantiquarian.org/short-termfellowship
17,Lapides Fellowship in Pre-1865 Juvenile Literature and Ephemera,https://www.americanantiquarian.org/short-termfellowship
18,Lou Hochberg Thesis and Dissertation Awards,http://www.orgonelab.org/hochberg.htm
19,Archaeology of Portugal Fellowship,https://www.archaeological.org/grant/archaeology-of-portugal-fellowship/
20,Frances C. Allen Fellowship for Women of American Indian Heritage,http://www.newberry.org/darcy-mcnickle-center-fellowships
21,The Reese Fellowship for American Bibliography and the History of the Book in the Americas,https://bibsocamer.org/awards/fellowships/
22,The Charles J. Tanenbaum Fellowship in Cartographical Bibliography,https://bibsocamer.org/awards/fellowships/
23,The BSA-Mercantile Library Fellowship in North American Bibliography,https://bibsocamer.org/awards/fellowships/
24,Joseph Kremen Memorial Fellowship,https://www.yivo.org/list-of-fellowships
25,Samuel and Flora Weiss Research Fellowship,https://www.yivo.org/list-of-fellowships
26,The Nadia Christensen Prize for Translation,http://www.amscan.org/fellowships-grants/translation-competition/
27,Inter American Press Association Scholarship,https://www.petersons.com/scholarship/inter-american-press-association-scholarships-111_151433.aspx
28,David H. Clift Scholarship,http://www.ala.org/awardsgrants/david-h-clift-scholarship
29,Foster G. McGraw Graduate Student Scholarship,https://www.ache.org/membership/student-resources/foster-g-mcgaw-graduate-student-scholarship
30,Albert W. Dent Graduate Student Scholarship,https://www.ache.org/membership/student-resources/albert-w-dent-graduate-student-scholarship
31,National Health Service Corps Scholarship Program,https://nhsc.hrsa.gov/scholarships/index.html
32,ONS Master's Scholarship,http://www.onsfoundation.org/funding-for-nurses/education/masters-scholarships
33,Ronald D. Lunceford Scholarship,https://www.petersons.com/scholarship/ronald-d-lunceford-scholarship-111_151557.aspx
34,Estelle Massey Osborne Scholarship,https://www.testprepreview.com/college-scholarships.htm
35,Robert A. Dannels Memorial Scholarship,https://ans.org/honors/scholarships/dannels/
36,Littleton-Griswold Research Grant for U.S. Legal History,https://www.historians.org/awards-and-grants/grants-and-fellowships/littleton-griswold-research-grant
37,Theodore C. Sorensen Fellowship,https://www.jfklibrary.org/archives/research-fellowships-grants/sorensen-fellowship
38,Abba P. Schwartz Research Fellowship,https://www.jfklibrary.org/archives/research-fellowships-grants/schwartz-fellowship
39,Marjorie Kovler Research Fellowship,https://www.jfklibrary.org/archives/research-fellowships-grants/kovler-fellowship
40,United States-Indonesia Society Sumitro Fellowships,https://usindo.org/what-we-do/enhancing-educational-exchanges/sumitro-fellows-program/
41,Harry S. Truman Scholarship,https://www.truman.gov/candidates/how-become-truman-scholar
42,National Women's Studies Association Graduate Scholarship,https://www.nwsa.org/default.aspx
43,International Foundation for Ethical Research Fellowship in Alternatives in Ethical Research,http://www.ifer.org/available-fellowships.html
44,The Lewis and Clark Fund for Exploration and Field Research in Astrobiology,https://www.amphilsoc.org/grants/lewis-and-clark-fund-exploration-and-field-research-astrobiology
45,Robert E. Uhrig Graduate Scholarship,https://ans.org/honors/scholarships/uhrig/
46,Saul Levine Memorial Scholarship,https://ans.org/honors/scholarships/levine/
47,John Randall Scholarship,https://ans.org/honors/scholarships/randall/
48,Nuclear Criticality Safety Pioneers Scholarship,https://ans.org/honors/scholarships/ncspioneers/
