S.No,Student_Id,University,Status,Program,Target_Major,Specialization,Term,Year,GRE_Q,GRE_V,GRE_Total,Old_System,GRE_AWA,TOEFL,IELTS,College_Main_Form,College_Other_Form,College_Affiliation,Undergrad_Major,Grade,Topper_Grade,Grade_Scale,Publications,Work_Experience,TOEFL_Reading,TOEFL_Listening,TOEFL_Speaking,TOEFL_Writing
1000000,350555,Western University,Reject,MSc,Computer Science,-1,Fall,2018,163,152,315,-1,4,-1,8,G H Patel College Of Engineering & Technology,-1,-1,Information Technology,8.78,-1,10,-1,0,8,9,8,7
1113638,282901,NYU Tandon School of Engineering,Admit,MS,Computer Science,-1,Fall,2017,168,157,325,-1,3,115,-1,Gitam University,-1,-1,Computer Science,8.5,-1,10,0,0,29,29,27,30
1110505,281780,"University of Massachusetts, Amherst",Reject,MS,Computer Science,-1,Fall,2017,158,152,310,-1,4,103,-1,Alliance University,-1,-1,Computer Science,82.06,-1,100,-1,0,27,27,23,26
850743,423223,Virginia Tech University,Reject,MS,Computer Science,-1,Fall,2019,167,145,312,-1,3.5,100,-1,Sreenidhi Institute of Science and Technology,-1,-1,Mechanical Engineering,76,-1,100,0,19,-1,-1,-1,-1
753373,437983,"University of Dayton, Ohio",Admit,Master,Computer Science,-1,Fall,2019,156,146,302,-1,4,-1,6.5,"Sinhgad Institute Of Technology And Science, Narhe",-1,-1,Computer Science,62.2,-1,100,-1,0,-1,-1,-1,-1
1193040,214004,"Indiana University, Bloomington",Reject,Masters,Computer Science,-1,Fall,2016,166,144,310,-1,3,92,-1,"Shri guru govind singh college of engineering, nanded",-1,-1,Computer Science,8.59,-1,10,-1,0,22,22,23,25
1121678,272931,"University of California, San Diego",Admit,MS,Computer Science,-1,Fall,2017,170,157,327,-1,4,113,-1,Vellore Institute of Technology,-1,-1,Information Technology,9.31,-1,10,-1,0,30,30,23,30
1017030,387056,"California State University, East Bay",Reject,MS,Computer Science,-1,Fall,2018,150,133,283,-1,-1,-1,7,VR Siddhartha engineering college,-1,-1,Computer Science,7.88,-1,10,-1,0,7,8,6,6
756175,399214,Dalhousie University,Admit,MSc,Computer Science,-1,Fall,2019,157,147,304,-1,4,-1,7.5,SRM University,-1,-1,Computer Science,80.6,-1,100,-1,0,-1,-1,-1,-1
660617,400048,"State University of New York, Buffalo",Admit,MS,Computer Science,-1,Fall,2019,164,155,319,-1,4,113,-1,Goa engineering college,-1,-1,Computer Science,58,-1,100,-1,94,-1,-1,-1,-1
