University_Name,Status,Program,Target_Major,Term,Year,GRE_Q,GRE_V,GRE_Total,GRE_AWA,TOEFL,College_Main_Form,Undergrad_Major,Grade,Grade_Scale,Work_Experience,TOEFL_Reading,TOEFL_Listening,TOEFL_Speaking,TOEFL_Writing
Arizona State University,Admit,MS,Electronics & Communication,Fall,2013,166,159,325,4,113,Amrita Coimbatore,ECE,7.73,10,0,-1,-1,-1,-1
Arizona State University,Admit,MS,Software Engineering,Fall,2018,-1,-1,-1,-1,100,Jaypee University of Engineering and Technology,Computer Science,77,100,24,20,24,26,30
Arizona State University,Admit,MS,Software Engineering,Fall,2017,163,145,308,4.5,103,Anna University,Information Technology,8.07,10,0,24,28,24,27
Arizona State University,Admit,MS,Aerospace Engineering,Fall,2018,150,163,313,4,98,SRM University,Mechanical Engineering,9,10,0,22,24,24,28
"California State University, East Bay",Reject,MS,Computer Science,Fall,2018,150,133,283,-1,-1,VR Siddhartha engineering college,Computer Science,7.88,10,0,7,8,6,6
"California State University, East Bay",Admit,MS,Engineering Management,Spring,2017,154,135,289,2,87,Kiit,Mechanical Engineering,7,10,38,23,20,24,20
Clarkson University,Admit,MS,Engineering Management,Fall,2019,156,138,294,3.5,-1,KL University,Chemical Engineering,6.53,10,13,7,8,7,7
Clemson University,Reject,MS,Civil Engineering,Fall,2017,161,144,305,3,90,"Sinhgad Institute Of Technology And Science, Narhe",Civil Engineering,65,100,15,24,23,22,21
Clemson University,Reject,MS,Electrical Engineering,Spring,2019,162,140,302,3,-1,KLS Gogte Institute Of Technology,ECE,63.4,100,0,-1,-1,-1,-1
Clemson University,Reject,MS,Industrial Engineering,Fall,2016,160,151,311,3.5,98,FR CONCEICAO RODRIGUES College of Engineering,Production Engineering,6.5,10,0,25,27,23,23
Cleveland State University,Admit,MSc,Software Engineering,Spring,2017,154,131,285,2,-1,MLR Institute Of Technology,Computer Science,73,100,0,6,6,7,6
Cleveland State University,Admit,MSc,Software Engineering,Fall,2018,153,130,283,-1,-1,Gujarat Technological University,Information Technology,8.35,10,0,6,8,6,7
Cornell University,Admit,M.Eng.,Engineering Management,Fall,2019,170,150,320,3.5,116,Motilal Nehru National Institute of Technology Allahabad,Mechanical Engineering,8.83,10,0,-1,-1,-1,-1
Dalhousie University,Admit,MSc,Computer Science,Fall,2019,157,147,304,4,-1,SRM University,Computer Science,80.6,100,0,-1,-1,-1,-1
George Mason University,Admit,MS,Electronics & Communication,Fall,2011,157,148,305,3.5,105,College of engineering and technology,Electronics and Telecommunication,-1,-1,0,-1,-1,-1,-1
Georgia Institute of Technology,Reject,MS,Mechanical Engineering,Fall,2017,170,150,320,3.5,105,BIT Mesra,Mechanical Engineering,80.02,100,0,29,28,24,24
Harvard University,Reject,PhD,Electronics & Communication,Fall,2013,166,152,318,3.5,104,"BITS Pilani, Pilani Campus",EEE,8.1,10,0,-1,-1,-1,-1
"Illinios Institute of Technology, Chicago",Admit,MS,Electrical & Computer Engineering,Fall,2018,155,147,302,4,101,R.M.K. Engineering College,ECE,8.11,10,15,24,24,26,27
"Illinios Institute of Technology, Chicago",Admit,MS,Civil Engineering,Fall,2016,161,148,309,3.5,102,RV College of Engineering,Civil Engineering,8.44,10,0,26,25,26,25
"Indiana University, Bloomington",Reject,Masters,Computer Science,Fall,2016,166,144,310,3,92,"Shri guru govind singh college of engineering, nanded",Computer Science,8.59,10,0,22,22,23,25
Iowa State University,Admit,MS,Industrial Engineering,Fall,2018,167,152,319,3,108,Shri Ramdeobaba College of Engineering,Mechanical Engineering,8.43,10,18,28,27,24,29
Iowa State University,Admit,MS,Industrial Engineering,Fall,2015,167,157,324,0,102,-1,-1,-1,-1,0,25,25,26,26
Kansas State University,Reject,MS,Civil Engineering,Fall,2019,160,143,303,4.5,93,"AP Shah Institute Of Technology, Thane",Civil Engineering,7.22,10,6,-1,-1,-1,-1
Kansas State University,Reject,MS,Civil Engineering,Fall,2019,160,143,303,4.5,93,"AP Shah Institute Of Technology, Thane",Civil Engineering,7.22,10,6,-1,-1,-1,-1
