S.No,Student_Id,University,Status,Program,Target_Major,Specialization,Term,Year,GRE_Q,GRE_V,GRE_Total,Old_System,GRE_AWA,TOEFL,IELTS,College_Main_Form,College_Other_Form,College_Affiliation,Undergrad_Major,Grade,Topper_Grade,Grade_Scale,Publications,Work_Experience,TOEFL_Reading,TOEFL_Listening,TOEFL_Speaking,TOEFL_Writing
490705,286549,"University of Michigan, Ann Arbor",Admit,MS,Industrial Engineering,-1,Fall,2018,167,158,325,-1,4,105,-1,Vellore Institute of Technology,-1,-1,Mechanical Engineering,9.97,-1,10,-1,0,28,26,24,27
1000000,350555,Western University,Reject,MSc,Computer Science,-1,Fall,2018,163,152,315,-1,4,-1,8,G H Patel College Of Engineering & Technology,-1,-1,Information Technology,8.78,-1,10,-1,0,8,9,8,7
952179,327299,"Illinios Institute of Technology, Chicago",Admit,MS,Electrical & Computer Engineering,-1,Fall,2018,155,147,302,-1,4,101,-1,R.M.K. Engineering College,-1,-1,ECE,8.11,-1,10,-1,15,24,24,26,27
748143,347984,"University of Michigan, Dearborn",Admit,MSE,Industrial and Systems Engineering,-1,Fall,2019,167,142,309,-1,3.5,100,-1,College Of Engineering Pune,-1,-1,Metallurgical Engineering,8.63,-1,10,0,12,-1,-1,-1,-1
1113638,282901,NYU Tandon School of Engineering,Admit,MS,Computer Science,-1,Fall,2017,168,157,325,-1,3,115,-1,Gitam University,-1,-1,Computer Science,8.5,-1,10,0,0,29,29,27,30
1201199,118789,North Carolina State University,Admit,MS,Computer Engineering,-1,Fall,2016,164,155,319,-1,4,114,-1,NIT Surathkal,-1,-1,Computer Science,0,-1,10,-1,0,28,28,29,29
1184132,275925,"University of Texas, Dallas",Reject,MS,Electrical Engineering,-1,Fall,2016,164,142,306,-1,3,93,-1,"kakatiya institute of technology and sciences, warangal",-1,-1,EEE,73.4,-1,100,-1,0,26,24,19,24
488457,280189,"University of Texas, Austin",Reject,MS,Civil Engineering,-1,Fall,2017,159,153,312,-1,3.5,104,-1,University of Petroleum and Energy Studies,-1,-1,Civil Engineering,83,-1,100,-1,0,23,27,27,27
840768,431957,Kansas State University,Reject,MS,Civil Engineering,-1,Fall,2019,160,143,303,-1,4.5,93,-1,"AP Shah Institute Of Technology, Thane",-1,-1,Civil Engineering,7.22,-1,10,-1,6,-1,-1,-1,-1
1110505,281780,"University of Massachusetts, Amherst",Reject,MS,Computer Science,-1,Fall,2017,158,152,310,-1,4,103,-1,Alliance University,-1,-1,Computer Science,82.06,-1,100,-1,0,27,27,23,26
