S.No,Student_Id,University,Status,Program,Target_Major,Specialization,Term,Year,GRE_Q,GRE_V,GRE_Total,Old_System,GRE_AWA,TOEFL,IELTS,College_Main_Form,College_Other_Form,College_Affiliation,Undergrad_Major,Grade,Topper_Grade,Grade_Scale,Publications,Work_Experience,TOEFL_Reading,TOEFL_Listening,TOEFL_Speaking,TOEFL_Writing
490705,286549,"University of Michigan, Ann Arbor",Admit,MS,Industrial Engineering,-1,Fall,2018,167,158,325,-1,4,105,-1,Vellore Institute of Technology,-1,-1,Mechanical Engineering,9.97,-1,10,-1,0,28,26,24,27
952179,327299,"Illinios Institute of Technology, Chicago",Admit,MS,Electrical & Computer Engineering,-1,Fall,2018,155,147,302,-1,4,101,-1,R.M.K. Engineering College,-1,-1,ECE,8.11,-1,10,-1,15,24,24,26,27
748143,347984,"University of Michigan, Dearborn",Admit,MSE,Industrial and Systems Engineering,-1,Fall,2019,167,142,309,-1,3.5,100,-1,College Of Engineering Pune,-1,-1,Metallurgical Engineering,8.63,-1,10,0,12,-1,-1,-1,-1
1113638,282901,NYU Tandon School of Engineering,Admit,MS,Computer Science,-1,Fall,2017,168,157,325,-1,3,115,-1,Gitam University,-1,-1,Computer Science,8.5,-1,10,0,0,29,29,27,30
1201199,118789,North Carolina State University,Admit,MS,Computer Engineering,-1,Fall,2016,164,155,319,-1,4,114,-1,NIT Surathkal,-1,-1,Computer Science,0,-1,10,-1,0,28,28,29,29
1165234,264068,"University of Texas, Arlington",Admit,MS,Mechanical Engineering,-1,Spring,2017,161,140,301,-1,2.5,-1,6.5,Sardar Vallabhbhai Patel Institute of Technology,-1,-1,Mechanical Engineering,6.1,-1,10,-1,0,7,7,7,7
753373,437983,"University of Dayton, Ohio",Admit,Master,Computer Science,-1,Fall,2019,156,146,302,-1,4,-1,6.5,"Sinhgad Institute Of Technology And Science, Narhe",-1,-1,Computer Science,62.2,-1,100,-1,0,-1,-1,-1,-1
1093395,326163,"University of Illinois, Chicago",Admit,MS,Mechanical Engineering,-1,Fall,2011,152,164,316,-1,0,98,-1,K. J. Somaiya College of Engineering,-1,-1,Mechanical Engineering,63,-1,100,-1,0,24,24,25,25
1040680,293317,San Jose State University,Admit,MS,Electrical Engineering,-1,Fall,2018,164,160,324,-1,4,103,-1,Pondicherry Engineering College,-1,-1,ECE,7.63,-1,10,-1,0,28,28,23,24
1134004,284609,Pennsylvania State University,Admit,MSc,Industrial Engineering,-1,Fall,2017,170,155,325,-1,3.5,111,-1,"Sardar Patel College Of Engineering, (SPCE), Andheri",-1,-1,Mechanical Engineering,8.73,-1,10,-1,15,29,29,24,29
